sweep,helix,delta,count,total_skips,twist_deg,bend_deg,rmsd_nm,dev_max_nm,dev_mean_nm,n_core,solve_s,error
axis,h_XY_2_5,-8,2,172,15.723,5.968,0.7558,2.2566,0.6711,14056,380.3,
axis,h_XY_2_5,-6,4,174,15.31,4.59,0.6371,1.9083,0.5682,14052,376.8,
axis,h_XY_2_5,-4,6,176,14.895,2.968,0.5366,1.5641,0.4787,14048,377.1,
axis,h_XY_2_5,-1,9,179,14.354,1.08,0.448,1.0772,0.3871,14042,367.9,
axis,h_XY_2_5,-2,8,178,14.518,1.534,0.4667,1.2339,0.4098,14044,374.5,
axis,h_XY_2_5,1,11,181,13.998,1.041,0.4504,1.0587,0.3902,14038,372.3,
axis,h_XY_2_5,2,12,182,13.884,1.795,0.4712,1.216,0.4159,14036,374.9,
axis,h_XY_2_5,4,14,184,13.458,3.152,0.5449,1.5396,0.4912,14032,365.7,
axis,h_XY_2_5,6,16,186,13.193,4.711,0.6485,1.8702,0.5873,14028,366.1,
axis,h_XY_2_5,8,18,188,12.869,6.241,0.7701,2.205,0.6963,14024,309.6,
axis,h_XY_2_5,12,22,192,12.132,9.258,1.042,2.882,0.9355,14016,307.2,
axis,h_XY_2_5,16,26,196,11.513,12.234,1.3326,3.5649,1.189,14008,295.4,
axis,h_XY_2_5,20,30,200,10.729,15.22,1.6324,4.2523,1.45,14000,292.8,
