crossover_id,site_class,source_helix,destination_helix,bp,n_samples,n_valid,n_stable,valid_fraction,mean_azimuth_deg,mean_polar_deg,resultant_length,mean_vector_ih_ax_perp,mean_direction_ih_ax_perp
8e3e09c4-2724-4ba0-b86a-60e47c2fa726,reciprocal_upper,h_XY_2_2,h_XY_2_1,105,509,509,509,1.0,30.197471061372262,117.05248036648166,0.7952205392415606,"[0.6121087168542961, -0.36167141549365434, 0.356219612033703]","[0.7697345411099331, -0.45480643123050807, 0.4479507186439708]"
27d95e9c-d7dc-4741-8e27-133c9455d9e4,reciprocal_lower,h_XY_2_1,h_XY_2_0,111,509,506,506,0.9941060903732809,-21.1508442747312,76.11205021268155,0.8970475370045431,"[0.8121599377187619, 0.21531283043734606, -0.3142147422697294]","[0.9053700101900495, 0.24002388006808117, -0.35027657878529805]"
38918e77-568c-44e9-a915-70766b3e848c,reciprocal_upper,h_XY_2_6,h_XY_2_5,84,509,508,508,0.9980353634577603,25.27465337598366,121.4004272011656,0.9376899179032203,"[0.7237448619605859, -0.4885514464760727, 0.3417209988706248]","[0.7718381611470884, -0.5210159959579479, 0.3644285731841409]"
2e49de2c-9fba-427c-a1e5-b1715fe8a7d0,reciprocal_lower,h_XY_2_5,h_XY_2_4,90,509,509,509,1.0,-35.05212751716849,91.93734459208262,0.859418032555519,"[0.7031431189698418, -0.029054000841123216, -0.4933000851024515]","[0.8181619332317399, -0.03380659904788105, -0.5739931749344391]"
a3e497f5-3295-42de-a7af-bc31675a2d2c,reciprocal_upper,h_XY_2_4,h_XY_2_3,84,509,509,509,1.0,-20.89605168624459,125.2896881376766,0.8209964078779884,"[0.626056227509657, -0.4742984340304247, -0.23901819433094187]","[0.7625565976930531, -0.5777107298877635, -0.2911318393569188]"
f5915cdb-7bfb-4148-a908-275f6a0205ca,reciprocal_lower,h_XY_2_3,h_XY_2_2,90,509,509,509,1.0,-52.08062212621861,76.49631377660917,0.9407982524995333,"[0.5621859309798022, 0.21968384541279776, -0.7216559699601983]","[0.5975626862466786, 0.23350792247874283, -0.7670677193998682]"
e3d89535-aacf-4083-8529-ac78783d1da6,reciprocal_upper,h_XY_2_2,h_XY_2_1,84,509,457,457,0.8978388998035364,42.19840138961815,106.34223368875986,0.9611942151999816,"[0.6833059529268409, -0.27045517773166544, 0.6195492642774937]","[0.7108927021420697, -0.2813741213323842, 0.6445619984808098]"
24068314-ec17-469e-a0a3-dfe6d32f5abb,reciprocal_lower,h_XY_2_1,h_XY_2_0,90,509,509,509,1.0,-28.823119181029003,66.31415608675518,0.8854064675527072,"[0.7103706113087607, 0.3556868420012217, -0.390902900731344]","[0.8023101675236781, 0.40172153133729854, -0.44149542052907353]"
63f6a978-0cb8-4a07-99e9-bc9922285f57,reciprocal_upper,h_XY_2_6,h_XY_2_5,42,509,501,489,0.9842829076620825,-0.9915907972494774,134.76802658714246,0.8558519266053642,"[0.6075329269706023, -0.6027235607545248, -0.010515333186978209]","[0.7098575210086984, -0.7042381304732896, -0.012286393078164861]"
76269307-3d96-42d4-9626-0a4ce13737d1,reciprocal_lower,h_XY_2_5,h_XY_2_4,48,509,361,297,0.7092337917485265,7.024079855609377,42.740830463112715,0.7713286939214067,"[0.5195589822186255, 0.5664878076402247, 0.06401548138865154]","[0.6735895945698672, 0.7344311343588444, 0.08299377670393564]"
